State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Uttar Pradesh,Agra,Achnera,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1450,1550,1500
Uttar Pradesh,Agra,Achnera,Pumpkin,Pumpkin,FAQ,23-08-2025,1090,1170,1130
Uttar Pradesh,Agra,Agra,Apple,Kasmir/Shimla - II,Medium,23-08-2025,6500,8400,7500
Uttar Pradesh,Agra,Agra,Banana - Green,Banana - Green,FAQ,23-08-2025,1700,1880,1800
Uttar Pradesh,Agra,Agra,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1450,1650,1540
Uttar Pradesh,Agra,Agra,Cabbage,Cabbage,FAQ,23-08-2025,1450,1700,1550
Uttar Pradesh,Agra,Agra,Green Chilli,Green Chilly,FAQ,23-08-2025,4400,4700,4550
Uttar Pradesh,Agra,Agra,Spinach,Spinach,FAQ,23-08-2025,1800,2020,1900
Uttar Pradesh,Aligarh,Aligarh,Onion,Red,FAQ,23-08-2025,1300,1400,1350
Uttar Pradesh,Aligarh,Atrauli,Brinjal,Brinjal,FAQ,23-08-2025,1200,1300,1250
Uttar Pradesh,Aligarh,Atrauli,Maize,Hybrid,FAQ,23-08-2025,1900,2000,1950
Uttar Pradesh,Aligarh,Atrauli,Potato,Desi,FAQ,23-08-2025,900,1000,950
Uttar Pradesh,Aligarh,Atrauli,Sponge gourd,Sponge gourd,FAQ,23-08-2025,1700,1800,1750
Uttar Pradesh,Aligarh,Charra,Green Chilli,Green Chilly,FAQ,23-08-2025,4800,5000,4900
Uttar Pradesh,Aligarh,Charra,Potato,Desi,FAQ,23-08-2025,1000,1200,1100
Uttar Pradesh,Aligarh,Charra,Pumpkin,Pumpkin,FAQ,23-08-2025,600,800,700
Uttar Pradesh,Aligarh,Charra,Wheat,Dara,FAQ,23-08-2025,2500,2520,2510
Uttar Pradesh,Aligarh,Khair,Bitter gourd,Bitter Gourd,FAQ,23-08-2025,1800,2200,2000
Uttar Pradesh,Aligarh,Khair,Garlic,Garlic,FAQ,23-08-2025,2800,3500,3000
Uttar Pradesh,Ambedkarnagar,Akbarpur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,23-08-2025,9850,10250,10150
Uttar Pradesh,Ambedkarnagar,Akbarpur,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1580,1850,1750
Uttar Pradesh,Ambedkarnagar,Akbarpur,Cucumbar(Kheera),Cucumbar,FAQ,23-08-2025,2050,2250,2100
Uttar Pradesh,Ambedkarnagar,Akbarpur,Mustard Oil,Mustard Oil,FAQ,23-08-2025,14500,14750,14650
Uttar Pradesh,Ambedkarnagar,Akbarpur,Onion,Red,FAQ,23-08-2025,1300,1450,1385
Uttar Pradesh,Ambedkarnagar,Akbarpur,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,23-08-2025,3500,3650,3520
Uttar Pradesh,Ambedkarnagar,Akbarpur,Pomegranate,Pomogranate,Medium,23-08-2025,7000,7250,7120
Uttar Pradesh,Ambedkarnagar,Akbarpur,Potato,Desi,FAQ,23-08-2025,1100,1220,1150
Uttar Pradesh,Ambedkarnagar,Akbarpur,Rice,Common,FAQ,23-08-2025,3200,3300,3220
Uttar Pradesh,Amethi,Sultanpur,Apple,Delicious,Medium,23-08-2025,8165,8335,8200
Uttar Pradesh,Amethi,Sultanpur,Bitter gourd,Bitter Gourd,FAQ,23-08-2025,2480,2515,2500
Uttar Pradesh,Amethi,Sultanpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,23-08-2025,9960,10100,10000
Uttar Pradesh,Amethi,Sultanpur,Brinjal,Brinjal,FAQ,23-08-2025,1750,1820,1780
