forecast_date,district,block,rainfall_mm,temp_max_degC,temp_min_degC,humidity_morning_pct,humidity_evening_pct,wind_speed_kmph,wind_direction_deg,cloud_cover_octa,warning
2025-08-22,AGRA,ACHHNERA,16.1,33.0,27.0,91,63,3,303,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,ACHHNERA,21.8,32.2,27.0,90,64,7,116,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,ACHHNERA,24.5,31.1,26.1,91,68,5,134,7,HEAVY-RAIN
2025-08-25,AGRA,ACHHNERA,26.7,30.2,26.1,93,72,4,133,7,HEAVY-RAIN
2025-08-26,AGRA,ACHHNERA,10.1,31.1,26.1,94,69,9,106,7,Nil
2025-08-22,AGRA,AKOLA,15.8,33.0,27.0,91,63,3,309,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,AKOLA,21.4,32.2,27.0,90,64,7,117,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,AKOLA,23.6,31.1,26.2,91,68,5,139,7,HEAVY-RAIN
2025-08-25,AGRA,AKOLA,26.3,30.2,26.1,93,72,4,138,7,HEAVY-RAIN
2025-08-26,AGRA,AKOLA,10.1,31.1,26.1,94,69,9,108,7,Nil
2025-08-22,AGRA,BAH,14.7,33.0,26.9,91,63,3,319,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,BAH,21.4,32.1,27.0,90,64,7,118,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,BAH,23.2,31.1,26.1,91,68,5,134,7,HEAVY-RAIN
2025-08-25,AGRA,BAH,26.5,30.2,26.1,93,72,4,136,7,HEAVY-RAIN
2025-08-26,AGRA,BAH,10.3,31.1,26.1,94,69,9,111,7,Nil
2025-08-22,AGRA,BARAULI-AHIR,15.3,33.0,27.0,91,63,3,309,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,BARAULI-AHIR,21.3,32.1,27.0,90,64,7,118,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,BARAULI-AHIR,23.6,31.1,26.2,91,68,5,137,7,HEAVY-RAIN
2025-08-25,AGRA,BARAULI-AHIR,26.6,30.2,26.1,93,72,4,137,7,HEAVY-RAIN
2025-08-26,AGRA,BARAULI-AHIR,10.2,31.1,26.1,94,69,9,109,7,Nil
2025-08-22,AGRA,BICHPURI,15.3,33.0,27.1,91,63,3,303,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,BICHPURI,21.5,32.2,27.1,90,64,7,116,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,BICHPURI,23.2,31.2,26.2,91,68,5,132,7,HEAVY-RAIN
2025-08-25,AGRA,BICHPURI,26.3,30.2,26.1,93,72,4,133,7,HEAVY-RAIN
2025-08-26,AGRA,BICHPURI,9.9,31.2,26.1,94,69,9,107,7,Nil
2025-08-22,AGRA,ETMADPUR,15.5,33.0,27.0,91,63,4,302,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,ETMADPUR,21.6,32.1,27.0,90,64,7,115,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,ETMADPUR,22.6,31.0,26.1,91,68,6,130,7,HEAVY-RAIN
2025-08-25,AGRA,ETMADPUR,25.8,30.2,26.1,93,72,4,130,7,HEAVY-RAIN
2025-08-26,AGRA,ETMADPUR,10.2,31.1,26.0,94,69,9,107,7,Nil
2025-08-22,AGRA,FATEHABAD,14.8,33.0,27.0,91,63,3,307,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,FATEHABAD,21.3,32.1,27.0,90,64,7,118,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,FATEHABAD,23.2,31.1,26.1,91,68,5,135,7,HEAVY-RAIN
2025-08-25,AGRA,FATEHABAD,26.2,30.1,26.1,93,72,4,135,7,HEAVY-RAIN
2025-08-26,AGRA,FATEHABAD,10.3,31.1,26.1,94,69,9,109,7,Nil
2025-08-22,AGRA,FATEHPUR-SIKRI,16.2,33.0,27.0,91,63,3,308,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,FATEHPUR-SIKRI,21.9,32.2,27.0,90,64,7,116,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,FATEHPUR-SIKRI,24.0,31.1,26.2,91,68,5,139,7,HEAVY-RAIN
2025-08-25,AGRA,FATEHPUR-SIKRI,26.8,30.3,26.1,93,72,4,139,7,HEAVY-RAIN
2025-08-26,AGRA,FATEHPUR-SIKRI,10.2,31.1,26.1,94,69,9,107,7,Nil
2025-08-22,AGRA,JAGNER,15.8,33.0,26.9,91,63,3,309,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,JAGNER,21.8,32.1,27.0,90,64,7,117,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,JAGNER,23.4,31.1,26.2,91,68,5,146,7,HEAVY-RAIN
2025-08-25,AGRA,JAGNER,26.5,30.2,26.1,93,72,4,147,7,HEAVY-RAIN
2025-08-26,AGRA,JAGNER,10.1,31.0,26.1,94,69,8,111,7,Nil
2025-08-22,AGRA,JAITPUR-KALAN,14.8,33.0,27.0,91,63,3,314,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,JAITPUR-KALAN,21.5,32.1,27.0,90,64,7,118,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,JAITPUR-KALAN,23.1,31.1,26.1,91,68,5,133,7,HEAVY-RAIN
2025-08-25,AGRA,JAITPUR-KALAN,26.2,30.1,26.1,93,72,4,134,7,HEAVY-RAIN
2025-08-26,AGRA,JAITPUR-KALAN,10.3,31.1,26.1,94,69,9,110,7,Nil
2025-08-22,AGRA,KHANDAULI,15.6,33.0,27.1,90,63,4,302,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,KHANDAULI,21.4,32.2,27.1,90,64,7,115,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,KHANDAULI,22.9,31.2,26.2,91,68,5,131,7,HEAVY-RAIN
2025-08-25,AGRA,KHANDAULI,26.2,30.2,26.1,93,72,4,131,7,HEAVY-RAIN
2025-08-26,AGRA,KHANDAULI,10.2,31.2,26.1,94,69,9,106,7,Nil
2025-08-22,AGRA,KHERAGARH,15.9,33.0,27.0,91,63,3,310,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,KHERAGARH,21.3,32.2,27.0,90,64,7,118,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,KHERAGARH,23.7,31.1,26.2,91,68,5,142,7,HEAVY-RAIN
2025-08-25,AGRA,KHERAGARH,26.3,30.2,26.1,93,72,4,141,7,HEAVY-RAIN
2025-08-26,AGRA,KHERAGARH,9.8,31.1,26.1,94,69,9,109,7,Nil
2025-08-22,AGRA,PINAHAT,15.1,33.1,27.0,91,63,3,312,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,PINAHAT,21.4,32.1,27.0,90,64,7,119,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,PINAHAT,23.2,31.1,26.1,91,68,5,137,7,HEAVY-RAIN
2025-08-25,AGRA,PINAHAT,26.3,30.1,26.1,93,72,4,137,7,HEAVY-RAIN
2025-08-26,AGRA,PINAHAT,10.4,31.1,26.1,94,69,9,110,7,Nil
2025-08-22,AGRA,SAIYAN,15.6,33.0,27.0,91,63,3,312,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,SAIYAN,21.3,32.2,27.0,90,64,7,118,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,SAIYAN,24.1,31.1,26.2,91,68,5,140,7,HEAVY-RAIN
2025-08-25,AGRA,SAIYAN,26.5,30.2,26.1,93,72,4,140,7,HEAVY-RAIN
2025-08-26,AGRA,SAIYAN,9.8,31.1,26.1,94,69,9,109,7,Nil
2025-08-22,AGRA,SHAMSABAD,15.4,33.1,27.1,91,63,3,303,6,"NG, HEAVY-RAIN"
2025-08-23,AGRA,SHAMSABAD,21.5,32.2,27.1,90,64,7,116,6,"NG, HEAVY-RAIN"
2025-08-24,AGRA,SHAMSABAD,23.1,31.2,26.2,91,68,5,132,7,HEAVY-RAIN
2025-08-25,AGRA,SHAMSABAD,26.2,30.2,26.1,93,72,4,132,7,HEAVY-RAIN
2025-08-26,AGRA,SHAMSABAD,9.9,31.2,26.1,94,69,9,107,7,Nil
2025-08-22,ALIGARH,AKRABAD,9.1,32.9,26.2,91,66,9,71,7,NG
2025-08-23,ALIGARH,AKRABAD,24.1,31.3,26.1,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,AKRABAD,15.8,30.1,26.0,95,72,11,108,7,Nil
2025-08-25,ALIGARH,AKRABAD,17.5,29.2,25.2,96,77,12,95,8,Nil
2025-08-26,ALIGARH,AKRABAD,15.3,29.2,26.0,95,75,14,307,7,Nil
2025-08-22,ALIGARH,ATRAULI,8.8,32.9,26.2,91,66,9,71,7,NG
2025-08-23,ALIGARH,ATRAULI,23.3,31.2,26.1,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,ATRAULI,16.0,30.1,26.0,95,72,11,105,7,Nil
2025-08-25,ALIGARH,ATRAULI,17.2,29.1,25.2,96,77,12,94,8,Nil
2025-08-26,ALIGARH,ATRAULI,14.6,29.3,26.0,95,75,14,307,7,Nil
2025-08-22,ALIGARH,BIJAULI,8.9,32.9,26.2,91,66,9,72,7,NG
2025-08-23,ALIGARH,BIJAULI,23.3,31.2,26.1,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,BIJAULI,15.8,30.1,26.0,95,72,11,106,7,Nil
2025-08-25,ALIGARH,BIJAULI,17.2,29.1,25.2,96,77,12,94,8,Nil
2025-08-26,ALIGARH,BIJAULI,14.3,29.3,26.0,95,75,14,307,7,Nil
